customer_id,signup_date,region,acquisition_channel,age,tenure_months,recency_days,frequency,avg_order_value,monetary_total,num_support_tickets,email_subscribed,discount_rate_used,churned
C101132,2024-07-14,North,Referral,53.0,5,239,1,90.92,90.92,1,0,0.228,0
C100467,2022-04-04, West ,Referral,47.0,11,80,6,45.12,270.72,1,0,0.113,0
C101464,2022-09-16,East,Organic,50.0,22,30,5,32.04,160.2,2,1,0.442,1
C100656,2022-11-13,West,Organic,23.0,13,82,1,43.85,43.85,0,0,0.475,0
C100095,2022-10-12,east,Social,24.0,16,32,3,149.97,449.91,1,0,0.343,1
C100412,2021-07-06,North,Email,23.0,10,73,4,78.76,315.04,0,1,0.35,0
C100200,2021-09-19, East ,Email,,9,55,4,69.84,279.36,0,1,0.511,0
C101302,2022-04-21,East,Organic,33.0,15,77,4,53.46,213.84,1,1,0.355,0
C100697,2024-08-04,East,Paid Search,35.0,17,13,7,139.2,974.4,0,1,0.248,0
C101149,2024-03-26, West ,Referral,54.0,15,8,3,140.52,421.56,3,1,0.106,0
C100432,2021-04-05,East,Referral,61.0,11,109,2,141.8,283.6,0,1,0.236,0
C100383,2024-09-18,south,Social,67.0,4,11,1,87.63,87.63,2,1,0.172,0
C100027,2022-11-11,North,,,30,91,3,62.98,188.94,0,0,0.322,1
C100141,2022-04-07,South,Organic,48.0,24,35,3,56.15,168.45,0,0,0.509,0
C100009,2022-06-04,South,Social,34.0,9,17,2,113.16,226.32,1,0,0.173,1
C100830,2021-01-13,East,Social,32.0,2,86,2,41.29,82.58,0,1,0.599,0
C100396,2023-03-03,West,Social,31.0,27,61,3,78.12,234.36,1,0,0.646,0
C101397,2021-03-27,West,Organic,39.0,11,42,2,132.93,265.86,1,1,0.228,0
C101304,2022-03-14,West,Organic,27.0,6,64,2,96.44,192.88,3,1,0.292,0
C101323,2024-06-04,East,Email,,10,38,3,73.71,221.13,0,0,0.278,0
C100888,2023-03-07,North,Social,46.0,19,5,5,63.8,319.0,1,0,0.257,0
C100876,2023-05-31,South,Referral,23.0,15,14,5,54.6,,0,0,0.722,0
C100681,2022-01-21,North,Email,45.0,9,20,3,62.02,186.06,0,1,0.303,0
C100193,2022-01-16,West,Social,59.0,9,11,2,110.27,220.54,0,1,0.117,0
C100518,2021-11-15, North ,Social,49.0,7,14,2,81.96,163.92,0,0,0.29,0
C100262,2021-06-20,South,Organic,54.0,13,1,3,58.69,176.07,0,1,0.244,0
C100649,2023-10-22,North,Organic,57.0,25,66,6,109.2,655.2,0,1,0.399,0
C101223,2024-05-15,East,Paid Search,37.0,14,120,4,98.18,392.72,0,1,0.042,0
C101470,2021-10-25,west,Paid Search,33.0,5,62,1,50.55,50.55,0,1,0.475,0
C100619,2023-03-13,North,Organic,50.0,8,61,4,85.33,341.32,1,0,0.375,0
C101270,2021-08-07,West,Organic,54.0,5,1,1,33.19,33.19,1,0,0.416,0
C101305,2022-04-25, West ,Organic,48.0,11,48,7,79.52,556.64,1,1,0.24,0
C100718,2021-08-31,East,Email,,3,6,1,111.68,111.68,2,1,0.304,0
C100603,2024-10-03,East,Email,55.0,8,62,1,82.32,82.32,0,0,0.487,1
C100674,2024-07-09,East,Paid Search,39.0,19,1,3,62.56,187.68,1,0,0.384,0
C100986,2024-05-30,south,Referral,43.0,17,20,6,120.35,722.1,1,1,0.234,0
C101367,2021-12-17,North,Social,55.0,2,50,1,161.32,161.32,0,0,0.223,0
C100017,2022-04-23,North,Email,49.0,37,40,6,,519.18,0,0,0.251,0
C101050,2022-07-08,East,Paid Search,28.0,10,199,2,104.25,208.5,1,0,0.312,0
C100186,2021-12-10,South,Paid Search,58.0,18,102,2,35.82,71.64,1,0,0.062,1
C101252,2023-09-21,North,Referral,61.0,6,2,2,94.41,188.82,1,0,0.364,0
C100701,2024-02-20,South,Email,47.0,12,21,1,54.8,54.8,0,0,0.406,0
C100609,2024-07-02,South,Organic,38.0,7,74,1,81.59,81.59,0,1,0.306,0
C101436,2022-02-06,North,Paid Search,26.0,5,44,2,63.71,127.42,0,1,0.095,0
C100206,2024-08-31,North,Organic,57.0,13,56,4,20.67,82.68,2,0,0.261,0
C101346,2021-12-27,South,Organic,,19,116,2,96.51,193.02,1,0,0.136,0
C101225,2024-05-03,West,Social,49.0,20,171,2,113.79,227.58,0,1,0.505,0
C100118,2024-09-07,south,Email,68.0,18,116,3,69.93,209.79,0,0,0.232,0
C100643,2024-07-26,north,Referral,49.0,65,96,13,75.53,981.89,2,0,0.324,0
C100974,2022-02-03,south,Paid Search,43.0,3,36,1,87.97,87.97,0,0,0.17,0
C100593,2021-02-12,East,Organic,25.0,19,16,3,85.09,255.27,1,1,0.196,0
C100294,2023-11-23,West,Email,42.0,6,75,1,114.47,114.47,0,1,0.377,1
C101460,2021-11-20,East,Referral,43.0,11,5,2,72.26,144.52,1,1,0.082,0
C100369,2022-12-16,West,Referral,60.0,16,13,2,156.06,312.12,1,0,0.495,0
C101118,2024-03-03,South,Referral,44.0,30,151,6,158.68,952.08,1,0,0.061,0
C101182,2023-04-14,North,Organic,,21,93,2,111.94,223.88,0,1,0.053,0
C100489,2021-09-05,east,Organic,43.0,7,118,4,101.25,405.0,3,1,0.504,1
C100702,2023-01-28,North,Referral,34.0,11,71,3,62.74,188.22,1,1,0.588,0
C101433,2024-06-16,north,Referral,30.0,6,32,3,67.45,202.35,0,1,0.129,0
C101434,2023-08-01,North,Social,44.0,23,84,6,68.83,412.98,0,0,0.177,0
C100848,2022-04-16,North,,48.0,11,8,4,107.87,431.48,1,1,0.119,0
C100447,2022-11-25,East,Email,61.0,13,107,2,150.36,,0,0,0.249,0
C100023,2023-07-05,West,Referral,20.0,10,66,3,79.0,237.0,1,1,0.161,0
C100825,2022-10-15,North,Email,50.0,8,181,3,53.71,161.13,0,1,0.451,0
C101273,2021-03-26,East,Organic,57.0,15,107,2,105.22,,1,1,0.08,0
C100501,2022-05-06,West,Paid Search,44.0,9,16,2,29.53,59.06,2,1,0.209,0
C100484,2024-02-07,North,Social,37.0,5,94,4,79.18,316.72,0,1,0.444,0
C100774,2023-06-30,North,Referral,,11,25,4,79.84,319.36,2,0,0.146,0
C100167,2021-04-11,West,Organic,34.0,11,50,3,75.47,226.41,1,1,0.018,0
C100287,2022-02-16,South,Social,35.0,10,124,3,127.47,382.41,1,0,0.338,0
C100640,2021-04-09,East,Referral,48.0,24,14,3,94.55,283.65,3,0,0.07,0
C101146,2024-01-03,East,Social,41.0,24,23,5,87.55,437.75,1,1,0.204,0
C100146,2024-06-02,South,Organic,28.0,11,35,3,109.26,,1,0,0.523,1
C100602,2022-06-01,West,Referral,,10,20,2,136.59,273.18,0,0,0.232,0
C101190,2021-09-05,South,Email,56.0,29,35,3,128.16,,2,1,0.331,0
C100172,2021-09-19,South,Referral,48.0,1,44,2,90.43,180.86,0,0,0.09,0
C100325,2021-12-19,East,Organic,36.0,11,5,1,90.11,90.11,0,1,0.261,0
C101158,2023-07-03,South,Organic,57.0,6,12,1,98.39,,0,0,0.292,0
C100013,2024-10-08,West,Social,28.0,4,163,1,69.89,69.89,0,1,0.011,1
C100108,2021-04-29,North,Paid Search,46.0,5,63,3,126.95,380.85,0,1,0.415,0
C100707,2022-01-18,East,Paid Search,34.0,15,52,2,75.61,151.22,2,1,0.116,0
C101229,2022-03-01,North,,49.0,15,11,5,58.52,292.6,2,1,0.153,1
C100392,2024-05-04,East,Social,63.0,15,37,2,140.25,280.5,0,0,0.039,1
C101296,2023-08-14,North,Social,41.0,8,41,3,78.12,234.36,0,0,0.287,0
C100034,2021-03-04,South,Organic,31.0,18,45,1,66.5,66.5,2,1,0.386,0
C100874,2022-01-10,East,Paid Search,38.0,16,1,5,77.31,386.55,0,1,0.205,0
C100098,2023-07-08,North,Referral,41.0,7,1,2,86.99,173.98,0,1,0.756,0
C100788,2023-09-02,East,Organic,56.0,17,110,3,83.71,251.13,0,0,0.47,0
C100370,2024-01-23,east,Paid Search,43.0,2,16,1,113.72,113.72,0,1,0.166,0
C100492,2023-12-14,East,Paid Search,23.0,18,37,5,120.89,604.45,2,0,0.097,0
C100511,2022-11-26,West,Organic,60.0,26,111,2,89.55,,0,1,0.234,0
C101072,2021-11-24,South,Referral,,8,44,1,111.22,111.22,0,0,0.304,1
C100817,2022-08-15,South,Referral,30.0,16,13,3,89.38,268.14,2,1,0.089,0
C101206,2023-07-14,East,,33.0,19,49,6,79.68,478.08,1,1,0.092,0
C101128,2023-02-06,East,Organic,,11,44,2,43.88,87.76,1,1,0.327,0
C100525,2021-09-04,south,Paid Search,42.0,24,44,7,61.19,428.33,3,0,0.325,0
C100648,2021-08-28,East,Referral,34.0,5,34,1,58.83,58.83,1,1,0.446,1
C100179,2023-04-07,East,Paid Search,33.0,14,19,4,107.63,430.52,0,0,0.499,0
C100024,2023-04-20,East,Social,52.0,10,70,1,55.84,55.84,1,0,0.49,0
C100110,2023-05-17,South,Organic,59.0,6,15,2,89.22,178.44,0,1,0.076,0
C100015,2022-07-13,North,Organic,,11,51,4,32.25,129.0,1,1,0.168,0
C101403,2021-01-06,South,Email,59.0,23,69,7,124.72,873.04,1,0,0.142,0
C100882,2023-09-11,West,Organic,50.0,10,19,2,150.47,300.94,4,0,0.243,0
C100450,2022-04-28,North,Email,37.0,28,1,6,98.5,591.0,0,1,0.454,1
C100829,2021-06-29,South,Paid Search,,16,58,6,101.61,609.66,1,0,0.15,0
C100147,2023-11-25,South,Referral,30.0,4,8,2,95.75,191.5,0,0,0.308,1
C100410,2021-08-10,East,Organic,39.0,19,37,4,79.28,317.12,1,1,0.348,0
C100210,2021-08-19,East,Referral,53.0,1,27,1,23.06,23.06,1,0,0.429,1
C101274,2022-06-19,North,Referral,,9,204,4,88.2,352.8,0,0,0.38,1
C100716,2023-11-27,East,Organic,51.0,15,1,3,73.89,,0,0,0.545,0
C101192,2022-04-10,West,Referral,24.0,26,2,2,112.85,225.7,3,0,0.08,0
C100249,2023-05-12,South,Paid Search,20.0,35,109,6,42.08,252.48,0,0,0.404,0
C101186,2023-07-12,South,Organic,49.0,6,20,1,55.52,,1,1,0.279,0
C100943,2023-05-26,South,Paid Search,48.0,12,127,5,72.23,361.15,0,0,0.265,0
C100737,2022-03-10,South,Paid Search,20.0,11,1,2,10.0,20.0,1,0,0.282,1
C100099,2021-10-30, West ,Organic,22.0,7,21,2,145.57,291.14,0,1,0.343,0
C100004,2024-09-10,North,,,9,3,5,,511.0,1,1,0.225,0
C100738,2022-01-12,South,Paid Search,66.0,27,70,5,49.59,247.95,0,1,0.207,0
C100046,2022-09-22,South,Organic,43.0,3,50,1,70.64,70.64,1,1,0.457,1
C100531,2023-01-19,East,Paid Search,46.0,13,45,4,54.91,219.64,0,0,0.482,0
C101218,2023-07-23,East,Organic,25.0,12,204,1,99.92,99.92,1,0,0.242,1
C101067,2023-09-09,East,Organic,27.0,5,33,1,45.14,45.14,2,1,0.517,1
C101177,2023-11-04,south,Referral,47.0,8,14,2,25.34,50.68,1,1,0.096,0
C100189,2022-08-23,South,Paid Search,39.0,12,67,4,62.97,251.88,0,1,0.509,0
C100241,2024-03-03,East,Organic,36.0,12,20,6,90.95,545.7,1,0,0.213,1
C100837,2024-05-13,West,Paid Search,61.0,35,16,9,104.88,943.92,2,1,0.359,0
C101363,2023-12-06,North,Organic,49.0,3,23,1,70.68,,3,1,0.256,0
C100967,2021-05-12,North,Social,54.0,7,121,1,140.33,140.33,0,0,0.416,0
C100503,2022-05-02, South ,Social,60.0,25,35,5,78.04,390.2,1,0,0.049,0
C101336,2024-03-03,North,Social,59.0,15,51,4,79.25,317.0,1,0,0.364,0
C100263,2023-02-05,North,Organic,25.0,9,56,1,90.53,90.53,0,1,0.164,0
C100451,2024-05-26,West,Organic,44.0,17,41,4,69.84,279.36,0,1,0.222,0
C101087,2023-07-21,East,Organic,40.0,5,350,4,63.34,253.36,0,0,0.485,1
C100597,2024-10-14,East,Paid Search,45.0,14,17,4,87.62,350.48,1,0,0.454,0
C100313,2023-12-27,South,Organic,39.0,17,14,4,72.48,289.92,0,0,0.354,0
C100113,2021-03-10,East,Paid Search,34.0,16,57,5,116.75,583.75,1,0,0.374,0
C101013,2021-09-11,West,Organic,37.0,11,53,7,58.3,408.1,1,0,0.267,1
C100051,2023-03-12,North,Paid Search,41.0,10,139,1,67.76,67.76,0,0,0.274,1
C100705,2021-07-31, east ,Social,39.0,7,12,3,152.0,456.0,1,1,0.063,0
C100228,2024-03-07,East,Organic,34.0,5,56,2,48.95,97.9,2,0,0.083,0
C100546,2021-05-14,South,Paid Search,,4,57,2,75.04,150.08,3,0,0.287,1
C100344,2022-07-27,East,Organic,47.0,7,21,5,101.01,505.05,1,1,0.221,0
C100947,2024-09-05,West,,55.0,17,23,2,106.53,213.06,1,1,0.422,1
C101081,2024-05-07,West,Referral,40.0,3,68,2,44.91,89.82,0,0,0.196,0
C100308,2022-08-01,South,Paid Search,42.0,6,3,1,102.33,102.33,0,1,0.535,0
C100664,2022-06-05,South,Referral,52.0,8,28,3,96.49,289.47,1,1,0.117,0
C101240,2022-01-21,West,Organic,37.0,3,18,1,113.2,113.2,2,0,0.064,1
C101426,2024-01-25,North,Social,,48,29,8,81.26,,0,0,0.256,0
C101375,2021-02-10, North ,Organic,39.0,11,1,4,76.7,306.8,0,0,0.194,0
C100621,2023-10-22,South,Organic,55.0,6,14,2,39.08,78.16,1,1,0.292,0
C100164,2024-05-28,East,,51.0,4,21,1,69.52,69.52,0,0,0.345,0
C100984,2023-06-09,North,Referral,30.0,4,31,1,81.4,81.4,0,1,0.275,1
C100564,2023-10-24,east,Paid Search,41.0,6,49,2,72.7,145.4,0,1,0.102,0
C100207,2024-06-30,East,Paid Search,,5,47,1,110.01,110.01,1,0,0.102,0
C100562,2023-09-24,west,Paid Search,50.0,7,13,1,80.78,80.78,1,1,0.107,0
C100358,2021-06-21,South,Organic,49.0,12,42,3,84.18,252.54,1,1,0.013,0
C101455,2022-01-15, North ,Paid Search,20.0,13,14,2,60.89,121.78,0,1,0.281,0
C100840,2024-09-17,North,Organic,38.0,13,50,5,81.17,405.85,1,0,0.064,0
C101471,2022-12-29,North,Social,47.0,8,7,1,84.21,84.21,0,1,0.165,0
C100340,2022-10-16,North,Organic,38.0,12,87,2,75.47,150.94,1,1,0.299,0
C100020,2024-10-15,east,Organic,50.0,12,74,1,75.17,75.17,0,0,0.11,0
C100833,2022-05-08,East,Organic,48.0,9,88,2,59.42,118.84,2,0,0.189,0
C101420,2022-08-31,East,Email,,7,47,1,81.78,81.78,0,1,0.195,0
C101424,2021-10-31,South,Organic,57.0,24,105,9,139.8,1258.2,1,1,0.289,0
C100378,2023-10-06,South,Paid Search,61.0,26,85,6,123.16,738.96,1,1,0.03,0
C100275,2024-01-01,South,Paid Search,49.0,21,74,3,53.63,160.89,1,0,0.481,0
C100862,2021-03-02,East,Paid Search,38.0,9,40,1,137.24,137.24,1,1,0.271,0
C100748,2021-08-25,East,Paid Search,40.0,11,44,5,83.98,419.9,0,0,0.191,0
C100346,2023-12-12,West,Paid Search,41.0,37,20,11,134.28,1477.08,2,1,0.322,1
C100026,2022-03-18,south,Paid Search,,27,53,6,21.1,126.6,0,1,0.277,0
C100744,2021-12-20,South,,37.0,3,81,3,126.65,379.95,1,1,0.062,0
C101282,2024-07-08,South,Social,36.0,35,160,7,64.79,453.53,0,1,0.556,0
C101418,2024-05-06,West,Organic,27.0,14,37,2,104.24,208.48,1,1,0.27,0
C100907,2022-01-20,North,,25.0,19,145,4,155.5,622.0,2,1,0.188,0
C100704,2024-05-03,South,Paid Search,48.0,11,41,1,134.59,134.59,1,1,0.264,0
C100869,2023-03-27,North,Paid Search,37.0,6,55,2,74.7,149.4,0,1,0.076,0
C101183,2023-07-03,North,Social,40.0,16,59,5,88.38,441.9,0,1,0.459,1
C101484,2023-09-25,East,Organic,,20,15,3,141.93,425.79,0,1,0.3,0
C101076,2022-02-12,South,Social,43.0,20,21,3,45.38,136.14,1,0,0.274,0
C100361,2024-02-08,North,Email,,14,36,6,74.58,447.48,0,0,0.225,0
C101198,2023-09-26,South,Paid Search,49.0,18,29,2,98.34,196.68,0,1,0.432,0
C100128,2023-06-15,North,Organic,33.0,6,62,2,127.71,255.42,0,1,0.8,0
C101492,2023-02-01,East,Paid Search,21.0,12,120,5,67.06,335.3,0,0,0.22,0
C101352,2024-08-28,South,Referral,30.0,15,62,2,111.67,223.34,1,0,0.382,0
C101457,2022-10-27,South,Organic,39.0,21,55,5,91.45,457.25,0,0,0.226,0
C101002,2023-04-27,North,Email,42.0,18,121,3,88.74,266.22,0,1,0.387,0
C100860,2022-03-21, East ,Referral,28.0,6,55,2,56.0,112.0,0,1,0.103,0
C100920,2024-07-24,North,Organic,51.0,24,40,7,104.16,729.12,1,0,0.217,0
C101201,2022-07-01,East,Paid Search,46.0,37,59,8,104.18,833.44,1,1,0.411,0
C100151,2023-02-02,west,Organic,45.0,16,128,5,37.67,188.35,0,0,0.276,0
C100957,2024-04-23,South,Organic,43.0,24,3,5,147.68,738.4,1,0,0.521,0
C101435,2021-11-09,west,Paid Search,38.0,8,64,1,127.17,,0,1,0.532,0
C100278,2021-01-23,West,Paid Search,60.0,12,9,4,95.36,381.44,1,0,0.472,0
C101411,2021-01-30,West,Organic,66.0,16,41,2,88.98,177.96,0,0,0.446,1
C101137,2022-05-23,south,Organic,42.0,9,35,3,152.55,457.65,1,0,0.07,0
C100913,2024-08-27,West,Paid Search,42.0,20,74,7,44.94,314.58,0,0,0.264,0
C100507,2023-05-15,west,Organic,39.0,11,68,5,81.41,407.05,2,0,0.496,0
C100407,2022-10-03,West,Organic,,20,1,3,114.56,343.68,3,1,0.375,0
C100946,2023-12-28,East,Organic,25.0,35,2,4,86.82,347.28,4,1,0.018,0
C100595,2021-12-13,South,Paid Search,31.0,10,31,2,123.96,247.92,1,1,0.59,0
C100397,2024-09-12,South,Organic,54.0,17,8,3,125.19,375.57,0,0,0.199,0
C100653,2021-05-09,North,Referral,41.0,4,1,1,85.11,85.11,0,0,0.351,0
C100878,2022-07-17,east,Organic,36.0,30,110,6,77.78,,1,0,0.15,0
C100500,2021-11-13, East ,Referral,18.0,28,41,5,,651.85,3,0,0.49,0
C101042,2022-02-05,east,Paid Search,59.0,19,1,4,20.67,82.68,0,1,0.429,0
C100660,2024-09-02,South,Paid Search,44.0,6,4,1,119.75,119.75,1,0,0.177,0
C101188,2024-02-17,North,Organic,30.0,6,99,2,116.92,233.84,0,1,0.364,0
C101010,2024-10-11,East,Paid Search,,27,10,8,60.74,485.92,3,1,0.073,0
C100781,2022-09-30,West,Organic,61.0,3,29,2,58.55,117.1,1,0,0.256,0
C101269,2022-12-07,South,Email,29.0,16,49,2,80.6,161.2,0,1,0.086,0
C100771,2022-01-27, East ,Social,,16,35,3,46.61,139.83,1,0,0.267,0
C101044,2021-05-24,North,Paid Search,59.0,11,93,2,,80.5,1,1,0.49,0
C100330,2022-05-08,East,Paid Search,,15,69,2,77.77,155.54,0,1,0.237,0
C101168,2024-09-28,West,Social,,16,9,6,44.84,269.04,0,0,0.2,0
C100170,2021-12-25,South,Paid Search,38.0,8,69,3,68.81,206.43,2,1,0.259,1
C100976,2024-04-06, South ,Organic,30.0,21,52,4,60.32,241.28,1,1,0.369,0
C101051,2022-03-24,north,Paid Search,39.0,2,7,2,57.32,114.64,1,0,0.363,0
C101348,2023-07-20,South,Referral,49.0,11,22,3,82.0,246.0,0,0,0.286,0
C101117,2022-02-08,East,Referral,26.0,11,21,2,59.12,118.24,0,0,0.06,1
C100264,2023-03-16,West,Organic,45.0,12,15,2,92.91,185.82,0,0,0.101,0
C100739,2021-05-03,South,Paid Search,71.0,19,34,3,122.0,366.0,2,0,0.195,0
C101033,2023-04-11, West ,Organic,42.0,7,11,4,70.58,282.32,1,0,0.676,0
C101335,2024-06-17,west,Social,33.0,21,89,11,139.55,1535.05,0,0,0.521,0
C100857,2021-09-30,West,Paid Search,61.0,7,57,1,130.1,130.1,1,0,0.3,0
C100426,2023-01-27,North,Paid Search,50.0,9,47,2,88.48,176.96,1,1,0.471,0
C100694,2021-04-27,West,Social,43.0,3,42,1,142.11,142.11,0,1,0.154,0
C101150,2021-02-25,North,Email,38.0,15,118,3,,436.44,0,0,0.448,0
C101023,2024-05-16,South,Social,56.0,21,23,4,155.19,620.76,1,0,0.311,0
C101022,2021-01-05,West,,44.0,10,87,2,128.72,257.44,0,1,0.207,0
C101285,2021-04-14,West,Social,51.0,10,42,2,33.86,67.72,1,0,0.289,1
C101467,2022-08-14,North,Organic,41.0,19,46,6,78.59,471.54,2,0,0.242,0
C100213,2024-07-12,West,,42.0,11,5,3,69.8,209.4,1,1,0.049,0
C100813,2024-07-11, East ,Organic,,14,16,2,77.76,155.52,1,1,0.295,0
C101152,2021-01-17,north,Referral,56.0,9,73,4,43.22,172.88,1,1,0.567,0
C101472,2022-07-12,North,Organic,26.0,7,29,1,48.61,48.61,0,0,0.065,0
C100324,2022-07-20,west,Social,32.0,38,76,6,75.65,453.9,1,1,0.177,0
C100326,2024-06-10,West,Paid Search,64.0,37,39,4,145.04,580.16,0,0,0.376,0
C100680,2022-07-18,north,Referral,50.0,12,258,1,154.49,154.49,0,0,0.167,0
